wallet_address,times_received,total_grass_received,first_receipt,last_receipt,active_days
2MFoS3MPtvyQ4Wh4M9pdfPjz6UhVoNbFbGJAskCPCj3h,77293,18499339.032377608,2025-01-01 00:24:31,2026-05-18 09:18:30,501
CapuXNQoDviLvU1PxFiizLgPNQCxrsag1uMeyk6zLVps,77892,18414358.691404443,2025-01-01 00:01:50,2026-05-18 01:37:08,502
2UL8hbNaoErAYNePqgQYPP9yDCDRZGWbzKW4krLqkhNL,989,17831445.443883516,2025-05-02 15:21:24,2026-05-17 06:49:57,282
81BgcfZuZf9bESLvw3zDkh7cZmMtDwTPgkCvYu7zx26o,590,16980720.560211588,2025-01-01 02:12:22,2026-04-26 17:45:23,157
6LY1JzAFVZsP2a2xKrtU6znQMQ5h4i7tocWdgrkZzkzF,810,16488558.456045618,2025-09-26 12:47:01,2026-05-16 02:46:46,202
77DXFZnMebramt4dXfdwem1AjnfNnVnG8FkcVWpSwdjB,464,16328414.728036936,2025-01-02 06:31:35,2026-05-06 03:44:34,146
53AXjkQHZQEbHZvV55VHtcZtFzBzArLZZG5AF4ufkRhv,320,15942842.265971743,2025-01-02 18:27:24,2026-05-13 15:25:40,121
5uB6r9hXZj5RoomS3iUm5PtmPoTRgJsDqj1gkc2AGFS5,573,14159842.542012773,2025-02-18 12:07:22,2026-05-15 12:39:54,204
ASTyfSima4LLAdDgoFGkgqoKowG1LZFDr9fAQrg7iaJZ,2918,13539045.369283982,2025-01-01 01:36:43,2026-03-12 17:15:04,205
BaZipPqSWweDWf2uYotqYMog9nyN1km72axBRU7dVzrB,7127,13286196.288621001,2025-01-01 00:37:05,2026-05-18 10:11:09,503
44P5Ct5JkPz76Rs2K6juC65zXMpFRDrHatxcASJ4Dyra,119,13123647.61122358,2025-05-19 06:42:31,2026-05-12 16:19:36,80
AEZoku1fLfUz5JYJ3kJ5YVdf3QT1T4RwdggGbuR8Eakd,850,12753120.485687705,2025-03-17 14:05:06,2026-05-18 09:55:32,79
